Standortname;PLZ;Standplatz-Bezeichnung_Internet;Latitude;Longitude;Title
Kurort Rathen (Kr Pirna);1824;Zugang Bahnsteig Richtung Dresden;53,989132;11,8908452;Zugang Bahnsteig Richtung Dresden - Kurort Rathen (Kr Pirna) - 1824
Stadt Wehlen (Sachs);1829;Bahnsteig Richtung Dresden;53,7602201;12,3872278;Bahnsteig Richtung Dresden - Stadt Wehlen (Sachs) - 1829
Neustadt (Sachs);1844;Hausbahnsteig;54,3018688;13,0948125;Hausbahnsteig - Neustadt (Sachs) - 1844
Sebnitz (Sachs);1855;Hausbahnsteig;54,5328678;13,6356184;Hausbahnsteig - Sebnitz (Sachs) - 1855
Pulsnitz;1896;Hausbahnsteig;54,3931323;13,6381138;Hausbahnsteig - Pulsnitz - 1896
Großröhrsdorf;1900;Hausbahnsteig;54,3931323;13,6381138;Hausbahnsteig - Großröhrsdorf - 1900
Kamenz (Sachs);1917;Hausbahnsteig;53,5778004;11,6946585;Hausbahnsteig - Kamenz (Sachs) - 1917
Königsbrück;1936;Zugang Bahnsteig;53,1627977;11,7453967;Zugang Bahnsteig - Königsbrück - 1936
Laußnitz;1936;Hausbahnsteig;53,1627977;11,7453967;Hausbahnsteig - Laußnitz - 1936
Ruhland;1945;Bahnsteig 1/2;53,7913061;11,6468601;Bahnsteig 1/2 - Ruhland - 1945
Ruhland;1945;Bahnsteig 3/4;53,7913061;11,6468601;Bahnsteig 3/4 - Ruhland - 1945
Senftenberg;1968;Empfangsgebäude;53,7913061;11,6468601;Empfangsgebäude - Senftenberg - 1968
Lauchhammer;1979;Hausbahnsteig;53,7913061;11,6468601;Hausbahnsteig - Lauchhammer - 1979
Ortrand;1990;Zugang Bahnsteig 1 ;53,7913061;11,6468601;Zugang Bahnsteig 1  - Ortrand - 1990
Hoyerswerda;2977;Empfangsgebäude;52,904597;9,6581778;Empfangsgebäude - Hoyerswerda - 2977
Hoyerswerda;2977;Tunnel links;52,904597;9,6581778;Tunnel links - Hoyerswerda - 2977
Cottbus;3048;Empfangsgebäude;52,3421592;9,7207584;Empfangsgebäude - Cottbus - 3048
Cottbus;3048;Empfangshalle;52,3421592;9,7207584;Empfangshalle - Cottbus - 3048
Cottbus;3048;Bahnsteig 1;52,3421592;9,7207584;Bahnsteig 1 - Cottbus - 3048
Cottbus;3048;Hausbahnsteig 1;52,3421592;9,7207584;Hausbahnsteig 1 - Cottbus - 3048
Cottbus;3048;Empfangsgebäude;52,3421592;9,7207584;Empfangsgebäude - Cottbus - 3048
Neupetershain;3103;Zugang Hausbahnsteig;51,165691;10,451526;Zugang Hausbahnsteig - Neupetershain - 3103
Guben;3172;Bahnhofsvorplatz Zugang Bahnsteig 1/3;52,3828147;9,1197347;Bahnhofsvorplatz Zugang Bahnsteig 1/3 - Guben - 3172
Calau(NI);3205;Hausbahnsteig;52,1353955;8,7130931;Hausbahnsteig - Calau(NI) - 3205
Lübbenau (Spreewald);3222;Bahnsteig;52,1326307;8,4587154;Bahnsteig - Lübbenau (Spreewald) - 3222
Vetschau;3226;Zugang Bahnsteig 1;52,198835;8,5777547;Zugang Bahnsteig 1 - Vetschau - 3226
Finsterwalde(NI);3238;Empfangsgebäude;52,4543743;8,6008636;Empfangsgebäude - Finsterwalde(NI) - 3238
Doberlug-Kirchhain;3253;Empfangsgebäude;52,3121379;8,7834291;Empfangsgebäude - Doberlug-Kirchhain - 3253
Leipzig-Völkerschlachtdenkmal;4103;Hausbahnsteig 1/2;51,3411368;6,851654;Hausbahnsteig 1/2 - Leipzig-Völkerschlachtdenkmal - 4103
Leipzig MDR;4103;Bahnsteig Zugang Süd;51,3411368;6,851654;Bahnsteig Zugang Süd - Leipzig MDR - 4103
Leipzig Bayerischer Bf;4103;Bahnsteig im Infomodul;51,3411368;6,851654;Bahnsteig im Infomodul - Leipzig Bayerischer Bf - 4103
Leipzig Bayerischer Bf;4103;Bahnsteig im Infomodul;51,3411368;6,851654;Bahnsteig im Infomodul - Leipzig Bayerischer Bf - 4103
Leipzig MDR;4103;Bahnsteig Zugang Nord;51,3411368;6,851654;Bahnsteig Zugang Nord - Leipzig MDR - 4103
Leipzig W.-Leuschner-Platz;4107;Zugang Nord;51,180057;6,3999735;Zugang Nord - Leipzig W.-Leuschner-Platz - 4107
Leipzig W.-Leuschner-Platz;4107;Zugang Süd;51,180057;6,3999735;Zugang Süd - Leipzig W.-Leuschner-Platz - 4107
Leipzig Hbf;4109;Bahnsteig 8/9;51,180057;6,3999735;Bahnsteig 8/9 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 6/7;51,180057;6,3999735;Bahnsteig 6/7 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 12/13;51,180057;6,3999735;Bahnsteig 12/13 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 14/15;51,180057;6,3999735;Bahnsteig 14/15 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Empfangshalle Ostseite;51,180057;6,3999735;Empfangshalle Ostseite - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 16/17;51,180057;6,3999735;Bahnsteig 16/17 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Empfangsgebäude Ostseite;51,180057;6,3999735;Empfangsgebäude Ostseite - Leipzig Hbf - 4109
Leipzig Markt;4109;Zugang Zwischenebene Nord;51,180057;6,3999735;Zugang Zwischenebene Nord - Leipzig Markt - 4109
Leipzig Hbf;4109;Bahnsteig   2. UG südlicher Zugang;51,180057;6,3999735;Bahnsteig   2. UG südlicher Zugang - Leipzig Hbf - 4109
Leipzig Markt;4109;Bahnsteig;51,180057;6,3999735;Bahnsteig - Leipzig Markt - 4109
Leipzig Markt;4109;Zugang Zwischenebene Süd;51,180057;6,3999735;Zugang Zwischenebene Süd - Leipzig Markt - 4109
Leipzig Hbf;4109;Bahnsteig 22/23;51,180057;6,3999735;Bahnsteig 22/23 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig   2. UG nördlicher Zugang;51,180057;6,3999735;Bahnsteig   2. UG nördlicher Zugang - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 18/19;51,180057;6,3999735;Bahnsteig 18/19 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig   2. UG nördlicher Zugang;51,180057;6,3999735;Bahnsteig   2. UG nördlicher Zugang - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig   2. UG südlicher Zugang;51,180057;6,3999735;Bahnsteig   2. UG südlicher Zugang - Leipzig Hbf - 4109
Leipzig Hbf;4109;Westhalle vor Rolltreppe;51,180057;6,3999735;Westhalle vor Rolltreppe - Leipzig Hbf - 4109
Leipzig Hbf;4109;Reisezentrum;51,180057;6,3999735;Reisezentrum - Leipzig Hbf - 4109
Leipzig Hbf;4109;Reisezentrum;51,180057;6,3999735;Reisezentrum - Leipzig Hbf - 4109
Leipzig Hbf;4109;Reisezentrum;51,180057;6,3999735;Reisezentrum - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 10/11;51,180057;6,3999735;Bahnsteig 10/11 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Bahnsteig 20/21;51,180057;6,3999735;Bahnsteig 20/21 - Leipzig Hbf - 4109
Leipzig Hbf;4109;Westhalle neben Telekomsäule;51,180057;6,3999735;Westhalle neben Telekomsäule - Leipzig Hbf - 4109
Leipzig Hbf;4109;Reisezentrum;51,180057;6,3999735;Reisezentrum - Leipzig Hbf - 4109
Leipzig Hbf;4109;Westhalle neben Telekomsäule;51,180057;6,3999735;Westhalle neben Telekomsäule - Leipzig Hbf - 4109
Leipzig Nord;4129;Mittelbahnsteig 1/2;51,1654923;6,4261842;Mittelbahnsteig 1/2 - Leipzig Nord - 4129
Leipzig-Gohlis;4155;Bahnsteig 3;51,0994393;6,7594436;Bahnsteig 3 - Leipzig-Gohlis - 4155
Leipzig-Möckern;4155;Bahnsteig 2;51,0994393;6,7594436;Bahnsteig 2 - Leipzig-Möckern - 4155
Leipzig Olbrichtstraße;4157;Bahnsteig 1 Richtung Leipzig;51,0514549;6,6820125;Bahnsteig 1 Richtung Leipzig - Leipzig Olbrichtstraße - 4157
Leipzig Slevogtstraße;4159;Zugang Bahnsteig 1;51,0514549;6,6820125;Zugang Bahnsteig 1 - Leipzig Slevogtstraße - 4159
Leipzig-Wahren;4159;Mittelbahnsteig;51,0514549;6,6820125;Mittelbahnsteig - Leipzig-Wahren - 4159
Leipzig-Leutzsch;4179;Zugang Bahnsteig 4;51,2500409;6,3206577;Zugang Bahnsteig 4 - Leipzig-Leutzsch - 4179
Leipzig Miltitzer Allee;4207;Hausbahnsteig;51,1130534;6,1328887;Hausbahnsteig - Leipzig Miltitzer Allee - 4207
Leipzig Grünauer Allee;4209;Bahnsteig 2;51,1130534;6,1328887;Bahnsteig 2 - Leipzig Grünauer Allee - 4209
Leipzig Allee-Center;4209;Bahnsteig 2 Richtung Leipzig-Plagwitz;51,1130534;6,1328887;Bahnsteig 2 Richtung Leipzig-Plagwitz - Leipzig Allee-Center - 4209
Leipzig-Plagwitz;4229;Zugang Bahnsteig 1;51,2689407;7,2119378;Zugang Bahnsteig 1 - Leipzig-Plagwitz - 4229
Leipzig-Connewitz;4277;Mittelbahnsteig 2/3;51,1843821;7,0402385;Mittelbahnsteig 2/3 - Leipzig-Connewitz - 4277
Leipzig-Liebertwolkwitz;4288;Bahnsteig 1/2;51,1619777;7,2060462;Bahnsteig 1/2 - Leipzig-Liebertwolkwitz - 4288
Leipzig-Stötteritz;4299;auf dem Mittelbahnsteig;51,1030829;7,2240777;auf dem Mittelbahnsteig - Leipzig-Stötteritz - 4299
Leipzig-Paunsdorf;4319;Mittelbahnsteig 2/3;51,1030829;7,2240777;Mittelbahnsteig 2/3 - Leipzig-Paunsdorf - 4319
Leipzig-Engelsdorf;4319;Bahnsteig Richtung Leipzig;51,1030829;7,2240777;Bahnsteig Richtung Leipzig - Leipzig-Engelsdorf - 4319
